"";"BISE01_a";"BISE01_b";"BISE01_c";"BISE01_d";"BISE02_a";"BISE02_b";"BISE02_c";"BISE02_d";"BISE03_a";"BISE03_b";"BISE03_c";"BISE03_d";"BISE04_a";"BISE04_b";"BISE04_c";"BISE04_d";"BISE05_a";"BISE05_b";"BISE05_c";"BISE05_d";"BISE06_a";"BISE06_b";"BISE06_c";"BISE06_d";"BISE07_a";"BISE07_b";"BISE07_c";"BISE07_d";"BISE08_a";"BISE08_b";"BISE08_c";"BISE08_d";"BISE09_a";"BISE09_b";"BISE09_c";"BISE09_d";"BISE10_a";"BISE10_b";"BISE10_c";"BISE10_d";"BISE11_a";"BISE11_b";"BISE11_c";"BISE11_d";"BISE12_a";"BISE12_b";"BISE12_c";"BISE12_d";"BISE13_a";"BISE13_b";"BISE13_c";"BISE13_d";"BISE14_a";"BISE14_b";"BISE14_c";"BISE14_d";"BISE15_a";"BISE15_b";"BISE15_c";"BISE15_d";"BISE16_a";"BISE16_b";"BISE16_c";"BISE16_d";"BISE17_a";"BISE17_b";"BISE17_c";"BISE17_d";"BISE18_a";"BISE18_b";"BISE18_c";"BISE18_d";"BISE19_a";"BISE19_b";"BISE19_c";"BISE19_d";"BISE20_a";"BISE20_b";"BISE20_c";"BISE20_d";"BISE21_a";"BISE21_b";"BISE21_c";"BISE21_d";"BISE22_a";"BISE22_b";"BISE22_c";"BISE22_d";"BISE23_a";"BISE23_b";"BISE23_c";"BISE23_d";"BISE24_a";"BISE24_b";"BISE24_c";"BISE24_d";"BISE25_a";"BISE25_b";"BISE25_c";"BISE25_d";"BISE26_a";"BISE26_b";"BISE26_c";"BISE26_d";"BISE27_a";"BISE27_b";"BISE27_c";"BISE27_d";"BISE28_a";"BISE28_b";"BISE28_c";"BISE28_d";"BISE29_a";"BISE29_b";"BISE29_c";"BISE29_d";"BISE30_a";"BISE30_b";"BISE30_c";"BISE30_d";"BISE31_a";"BISE31_b";"BISE31_c";"BISE31_d";"BISE32_a";"BISE32_b";"BISE32_c";"BISE32_d";"BISE33_a";"BISE33_b";"BISE33_c";"BISE33_d";"BISE34_a";"BISE34_b";"BISE34_c";"BISE34_d";"BISE35_a";"BISE35_b";"BISE35_c";"BISE35_d";"BISE36_a";"BISE36_b";"BISE36_c";"BISE36_d";"BISE37_a";"BISE37_b";"BISE37_c";"BISE37_d";"BISE38_a";"BISE38_b";"BISE38_c";"BISE38_d";"BISE39_a";"BISE39_b";"BISE39_c";"BISE39_d";"BISE40_a";"BISE40_b";"BISE40_c";"BISE40_d";"BISE41_a";"BISE41_b";"BISE41_c";"BISE41_d";"BISE42_a";"BISE42_b";"BISE42_c";"BISE42_d";"BISE43_a";"BISE43_b";"BISE43_c";"BISE43_d";"BISE44_a";"BISE44_b";"BISE44_c";"BISE44_d";"BISE45_a";"BISE45_b";"BISE45_c";"BISE45_d";"BISE46_a";"BISE46_b";"BISE46_c";"BISE46_d";"BISE47_a";"BISE47_b";"BISE47_c";"BISE47_d";"BISE48_a";"BISE48_b";"BISE48_c";"BISE48_d";"BISE49_a";"BISE49_b";"BISE49_c";"BISE49_d";"BISE50_a";"BISE50_b";"BISE50_c";"BISE50_d";"BISE51_a";"BISE51_b";"BISE51_c";"BISE51_d";"BISE52_a";"BISE52_b";"BISE52_c";"BISE52_d";"BISE53_a";"BISE53_b";"BISE53_c";"BISE53_d";"BISE54_a";"BISE54_b";"BISE54_c";"BISE54_d";"BISE55_a";"BISE55_b";"BISE55_c";"BISE55_d";"BISE56_a";"BISE56_b";"BISE56_c";"BISE56_d";"BISE57_a";"BISE57_b";"BISE57_c";"BISE57_d";"BISE58_a";"BISE58_b";"BISE58_c";"BISE58_d";"BISE59_a";"BISE59_b";"BISE59_c";"BISE59_d";"BISE60_a";"BISE60_b";"BISE60_c";"BISE60_d";"BISE61_a";"BISE61_b";"BISE61_c";"BISE61_d";"BISE62_a";"BISE62_b";"BISE62_c";"BISE62_d";"BISE63_a";"BISE63_b";"BISE63_c";"BISE63_d";"BISE64_a";"BISE64_b";"BISE64_c";"BISE64_d"
"uncultured Methylocella sp.";1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"uncultured Methylophilus sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Methylosinus sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"uncultured Microlunatus sp.";0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Micromonospora sp.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Microvirga sp.";1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"uncultured Moorella sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0
"uncultured Mucilaginibacter sp.";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1
"uncultured Mycobacterium sp.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"uncultured Nannocystis sp.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Niastella sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0
"uncultured Nitratireductor sp.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
"uncultured Nitrosococcus sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1
"uncultured Nitrososphaera sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Nitrosospira sp.";0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"uncultured Nitrospira sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"uncultured Nocardioides sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Novosphingobium sp.";1;1;1;0;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1
"uncultured Ohtaekwangia sp.";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"uncultured Opitutus sp.";0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1
"uncultured Pasteuria sp.";1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"uncultured Pedobacter sp.";1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
